Species,Family,MaxSizeTL,MaxSizeTL_Prod,Diet,Position,a,b
Labroides bicolor,Labridae,15,15,InvMob,BtPlDw,0.00468,3.12
Labroides dimidiatus,Labridae,15,14,InvMob,BtPlDw,0.00603 ,3.16 
Lethrinus erythracanthus,Lethrinidae,70,70,InvMob,BnthDw,0.01202,2.99
Lutjanus bohar,Lutjanidae,100,90,FisCep,BtPlDw,0.01259,3
Lutjanus gibbus,Lutjanidae,50,50,InvMob,BtPlDw,0.01514,2.98
Lutjanus kasmira,Lutjanidae,40,40,InvMob,BtPlDw,0.01479,2.98
Lutjanus monostigma,Lutjanidae,60,60,FisCep,BtPlDw,0.0138,2.96
Macolor niger,Lutjanidae,80,75,FisCep,PelgAs,0.01585,2.98
Melichthys indicus,Balistidae,25,25,InvMob,BtPlDw,0.0257,2.94
Monotaxis grandoculis,Lethrinidae,60,60,InvMob,BtPlDw,0.02291,2.99
Mulloidichthys flavolineatus,Mullidae,40,43,InvMob,BtPlDw,0.01072,3.08
Myripristis vittata,Holocentridae,25,25,InvMob,BtPlDw,0.01698,3.05
Naso annulatus,Acanthuridae,100,100,Plktiv,PelgDw,0.02239,2.98
Naso brachycentron,Acanthuridae,100,105,HerMac,BtPlDw,0.01995,3
Naso hexacanthus,Acanthuridae,80,79,Plktiv,PelgDw,0.02188,2.99
Naso lituratus,Acanthuridae,60,60,HerMac,BtPlDw,0.02512,2.97
Naso unicornis,Acanthuridae,70,74,HerMac,BtPlDw,0.02344,2.95
Naso vlamingii,Acanthuridae,60,60,Plktiv,BtPlDw,0.0263,3.01
Ostracion meleagris,Ostraciidae,25,25,InvSes,BtPlDw,0.03548,2.81
Oxycheilinus digramma,Labridae,50,48,FisCep,BtPlDw,0.01905,2.95
Oxymonacanthus longirostris,Monacanthidae,10,12,InvSes,BnthDw,0.0182,2.9
Paracirrhites arcatus,Cirrhitidae,15,14,InvMob,BnthDw,0.01122,3.07
Paracirrhites forsteri,Cirrhitidae,20,22,FisCep,BnthDw,0.01122 ,3.07 
Parapercis millepunctata,Pinguipedidae,20,18,InvMob,BnthAs,0.00646,3.09
Parupeneus barberinus,Mullidae,60,60,InvMob,BnthDw,0.01122,3.07
Parupeneus bifasciatus,Mullidae,35,35,InvMob,BnthDw,0.00794,3.18
Parupeneus cyclostomus,Mullidae,50,50,FisCep,BnthDw,0.01072 ,3.08 
Parupeneus macronemus,Mullidae,40,40,InvMob,BnthDw,0.00933,3.14
Parupeneus trifasciatus,Mullidae,35,35,InvMob,BnthDw,0.00794,3.18
Platax orbicularis,Ephippidae,50,50,Omnivr,BtPlAs,0.02951,2.97
Plectorhinchus orientalis,Haemulidae,80,81,InvMob,BtPlDw,0.01349,3.01
Plectroglyphidodon dickii,Pomacentridae,10,11,Omnivr,BnthDw,0.02239,2.99
Plectroglyphidodon johnstonianus,Pomacentridae,15,14,Omnivr,BnthDw,0.02291,2.96
Plectroglyphidodon lacrymatus,Pomacentridae,10,10,Omnivr,BnthDw,0.02089,2.99
Plectropomus areolatus,Serranidae,80,80,FisCep,BnthDw,0.01122,3.04
Plectropomus laevis,Serranidae,120,125,FisCep,BnthDw,0.00977,3.06
Pomacanthus imperator,Pomacanthidae,50,47,InvSes,BtPlDw,0.03467,2.92
Pomacentrus caeruleus,Pomacentridae,10,10,Omnivr,BnthDw,0.01514,2.95
Pomacentrus indicus,Pomacentridae,10,11,HerDet,BnthDw,0.02291,2.99
Pomacentrus taeniometopon,Pomacentridae,10,12,HerDet,BnthDw,0.02291,2.99
Pomacentrus wardi,Pomacentridae,10,10,HerDet,BnthDw,0.02344,2.99
Pseudocheilinus hexataenia,Labridae,10,10,InvMob,BnthDw,0.01380 ,2.96 
Pygoplites diacanthus,Pomacanthidae,30,31,InvSes,BtPlDw,0.01995,2.9
Sargocentron spiniferum,Holocentridae,50,54,InvMob,BtPlDw,0.01698,3
Scarus caudofasciatus,Scaridae,50,50,HerDet,BtPlDw,0.01445,3.04
Scarus falcipinnis,Scaridae,60,60,HerDet,BtPlDw,0.01445,3.04
Scarus frenatus,Scaridae,50,47,HerDet,BtPlDw,0.02138,3.09
Scarus ghobban,Scaridae,80,75,HerDet,BtPlDw,0.01445,3.04
Scarus globiceps,Scaridae,50,45,HerDet,BtPlDw,0.01047,3.09
Scarus niger,Scaridae,40,40,HerDet,BtPlDw,0.01549,3.11
Scarus prasiognathos,Scaridae,70,70,HerDet,BtPlDw,0.01122,3.08
Scarus psittacus,Scaridae,35,35,HerDet,BtPlDw,0.01585,3.05
Scarus rubroviolaceus,Scaridae,70,70,HerDet,BtPlDw,0.01318,3.09
Scarus scaber,Scaridae,35,37,HerDet,BtPlDw,0.0138,3.01
Scarus tricolor,Scaridae,35,37,HerDet,BtPlDw,0.01778,3.08
Siganus argenteus,Siganidae,40,40,HerDet,BtPlDw,0.01479,2.99
Stegastes fasciolatus,Pomacentridae,15,16,HerDet,BnthDw,0.0251,3.04
Stegastes gascoynei,Pomacentridae,15,15,HerDet,BnthDw,0.0195,2.99
Stegastes lividus,Pomacentridae,10,11,HerDet,BnthDw,0.0195,2.99
Stegastes nigricans,Pomacentridae,15,14,Omnivr,BnthDw,0.02455,3.02
Stethojulis albovittata,Labridae,15,14,InvMob,BnthDw,0.01072,3.05
Stethojulis strigiventer,Labridae,15,15,InvMob,BnthDw,0.00891 ,2.98 
Sufflamen chrysopterus,Balistidae,30,30,InvMob,BtPlDw,0.01995,2.95
Thalassoma amblycephalum,Labridae,20,20,Plktiv,BtPlDw,0.00977 ,3.01 
Thalassoma hardwicke,Labridae,20,20,InvMob,BnthDw,0.01023 ,3.04 
Thalassoma hebraicum,Labridae,25,23,InvMob,BnthDw,0.01288,3.05
Thalassoma purpureum,Labridae,50,46,InvMob,BnthDw,0.01318,3.05
Thalassoma quinquevittatum,Labridae,15,17,InvMob,BnthDw,0.01,3.02
Variola louti,Serranidae,80,83,FisCep,BnthDw,0.01096,3.03
Zanclus cornutus,Zanclidae,25,23,InvSes,BnthDw,0.01698,3.06
Zebrasoma desjardinii,Acanthuridae,40,40,HerDet,BtPlDw,0.02042,2.96
Zebrasoma scopas,Acanthuridae,25,25,HerDet,BtPlDw,0.02138,2.98
